What are the different ways to visually hide content (and make it available only for screen readers)?,"""<b>Avoid using visibility:hidden and display:none as most screen-readers skip over this content.<br><br></b><div>Generally for screen-readers you’d want to use the CSS class for only screen readers (typically '.sr-only' but name doesn’t matter). The following CSS will place it off-screen and hide the content inside.&nbsp;<br><img src=""""tLmyzOzzpfirOQiCxoGPB3NyQTGVU_KCpoay410zNo_ZCq_shPvmg6KZgITbVgDvTfkNzF0e9BL0sDR5vjJHc2WxNjL1OIXuHvcz95UWlZASgAFeLDC.png"""">&nbsp;</div>""","""<br> <a href="""" https://webaim.org/techniques/css/invisiblecontent/  """">Invisible Content Just for Screen Reader Users</a> """,CSS
"Have you ever used a grid system, and if so, what do you prefer?","I’ve used both CSS Grid and Flexbox. Often I’ll be using both. CSS Grid for the outer layout of the webpage so you can build a complex responsive design, and flexbox for aligning the content and moving blocks. If I had to pick one I prefer flexbox, but flexbox can’t do everything grid does and grid can’t do everything flexbox does. So it’s really just what tool is most relevant for the issue on hand.","""<br> <a href=""""https://www.ghttps://www.youtube.com/watch?v=rg7Fvvl3taU&amp;ab_channel=KevinPowellogle.com/search?client=firefox-b-1-d&amp;q=css+grid"""">Kevin Powell- CSS Grid </a> <br> <a href=""""https://learncssgrid.com/"""">Learn CSS Grid</a> <br> <a href=""""https://www.youtube.com/watch?v=u044iM9xsWU&amp;ab_channel=KevinPowell"""">Kevin Powell: Learn flexbox the easy way</a> <br> <a href=""""https://flexboxsheet.com/"""">CSS Flexbox Cheatsheet</a>""",CSS
Have you used or implemented media queries or mobile specific layouts/CSS?,"A popular philosophy is to use mobile-first design, where the website is formatted for viewing on a phone and then media queries are used for larger screen sizes.&nbsp;","""<br> <a href=""""https://medium.com/@Vincentxia77/what-is-mobile-first-design-why-its-important-how-to-make-it-7d3cf2e29d00"""">What is Mobile First Design?</a> """,CSS
Are you familiar with styling SVG?,"<div>SVG (Scalable Vector Graphics) is a series of instructions that tell a web browser what each image looks like. Especially since more and more people are using devices with Retina screens, SVG are important to avoid pixelation of images. Depending on the SVG, it’ll have different geometry properties, like cx/cy or rx/ry, height/width. They have some shared CSS, like the fill property, font properties, etc.&nbsp;</div>","""<br> <a href=""""https://webplatform.github.io/docs/tutorials/styling_svg_with_css/"""">Styling SVG with CSS</a> """,CSS
Can you give an example of an @media property other than screen?,"""Most common are:<br><ul><li>all — for all media types</li><li>print — for printers</li><li>screen — for computer screens, tablets and, smart-phones</li><li>speech — for screen readers that “read” the page out loud</li></ul><span style=""""font-weight: 700; text-decoration-line: underline;""""><img src=""""F0bwqfAoUkywaG0aKe_d15OMNeQFdaJNqhuBH8Ks_8DlASn4XlgPisxQG1nJl_0asR1UkUeV_27zWxRvIeWXW6qPj0kqAOlhFTWeZceuWh1hsgcBk_i.png""""></span><br><br>""","""<br> <a href=""""https://www.w3.org/TR/CSS21/media.html%23media-types"""">7 Media types</a> <br> <a href=""""https://www.freecodecamp.org/news/css-media-queries-breakpoints-media-types-standard-resolutions-and-more/"""">Media Query CSS Tutorial</a>  """,CSS
"""What are some of the """"gotchas"""" for writing efficient CSS?""","""Shorter selectors are always ideal when possible. Avoid tag (div{}) and universal (*{})selectors as they match a large amount of elements.&nbsp;<br><br>Ensure media queries are more specific than the base styling or they won't change the element. <br><br>Avoid using shorthands (padding: 5px 5px 5px 5px) if possible. Causes issues with overlapping declarations.&nbsp;""",,CSS
What are the advantages/disadvantages of using CSS preprocessors?,"<div>The main advantage is flexibility. Having access to variables and functions makes development much easier and results in a lot more readable CSS. Preprocessers can also create browser-specific CSS (webkit, moz-) automatically. As well being able to separate CSS in multiple files without worrying about extra HTTP requests. <br><br>However, CSS preprocessors generally increase file size, and can take a long time to compile. There may also be errors in the compiling itself that can be difficult to debug. Those are the main disadvantages.&nbsp;</div>",,CSS
Describe what you like and dislike about the CSS preprocessors you have used.,"[Personal answer, edit here]&nbsp;","""<br> <a href=""""https://www.envato.com/blog/css-preprocessors/"""">10 CSS Preprocessors Worth Considering</a> """,CSS
How would you implement a web design comp that uses non-standard fonts?,<div>Web Design Comps (Comprehensives) are mockups for clients and web designers to get a clear consensus idea of what the website looks. If using @font-faces fonts can be downloaded when the page is accessed. I’d also look into web-safe fonts and how that could change the mockup to ensure that there’s workable fallbacks.</div>,"""<br> <a href=""""https://www.w3docs.com/snippets/css/how-to-add-non-standard-fonts-to-a-website.html"""">How to Add Non-Standard Fonts to a Website</a> """,CSS
Explain how a browser determines what elements match a CSS selector.,<div>The browser starts at the rightmost selector and traverses up the parent elements to determine a match for multiple selectors.&nbsp;</div><div>So for &lt;p&gt; &lt;span&gt; it first searches for all &lt;span&gt; in a page and then searches for &lt;p&gt; to confirm if it matches or not.</div>,"""<br> <a href=""""https://stackoverflow.com/questions/5797014/why-do-browsers-match-css-selectors-from-right-to-left  """">Why do browsers match CSS selectors from right to left?</a> """,CSS
Describe pseudo-elements and discuss what they are used for.,"They help style parts of the div/text. The browser acts as if a whole new HTML element is added to the markup. Can be used for clearfixes, help with spacing, or decorate the first letter/line like a fancy book. MUST have a “content” property.&nbsp;","""<br> <a href=""""https://css-tricks.com/almanac/selectors/a/after-and-before/"""">::before / ::after</a> """,CSS
Explain your understanding of the box model and how you would tell the browser in CSS to render your layout in different box models.,The box model is the perspective that everything in CSS has a box around it. It’s the content area defined by the width. Different browsers all have their own way on how to render those boxes and what should be included in the “content” area.&nbsp;,"""<br> <a href=""""https://www.w3schools.com/css/css_boxmodel.asp"""">The CSS Box Model</a> """,CSS
What does * { box-sizing: border-box; } do? What are its advantages?,"The main advantage is you can specify dimensions of your elements without having to do any major calculations. It essentially counts the border in the width of the box itself.&nbsp;<br>With border-box, the following is 100px wide.<br><br>--<br>width: 100px;<br>border: 2px solid black;<br>--<br>Without border-box, it would be 102px<br>wide and could mess up layout.&nbsp;","""<br> <a href=""""https://developer.mozilla.org/en-US/docs/Web/CSS/box-sizing"""">box-sizing</a> """,CSS
What is the CSS display property and can you give a few examples of its use?,"The display CSS property sets whether an element is a block or inline element. It also sets the layout for the children of said element. So there’s inline-block, block, inline, table, etc for the layout of an element on a page. <br>There’s also display: flex, for the flex-boxes, where you can align-items and justify-content to influence the spacing of children elements. <br><br>Some others include: display: inherit for inheriting the parent display property, display: initial, display: grid and display:none, etc","""<br> <a href=""""https://developer.mozilla.org/en-US/docs/Web/CSS/display"""">MDN: display</a> """,CSS
"""What's the difference between inline and inline-block?""",<div>Inline elements allow elements to sit on their left and right along with their margins and padding. But they don’t respect the top/bottom margins/padding. Inline elements cannot have a height or a width.Typically text.&nbsp;</div><div><br>Where inline-blocks differ is that inline-blocks do respect top/bottom margins and padding. AND they also respect height and width.<br></div>,"""<br> <a href=""""https://stackoverflow.com/questions/9189810/css-display-inline-vs-inline-block"""">CSS display: inline vs inline-block </a> """,CSS
"""What's the difference between a relative, fixed, absolute and statically positioned element?""","<div>Static is the default for every page element, meaning it’ll flow into the page normally.<br><br></div><div>Relative means relative to itself, it needs other positioning attributes (top, left, bottom, right) to shift its position from where it’d normally be (with static). It’d also appear above statically positioned elements + have access to z-index.<br><br></div><div>Absolute places any page element exactly where you want it, relative to the next parent element with relative (or absolute) positioning, while removing it from the flow of the page.&nbsp;<br><br></div><div>A fixed position is relative to the browser window. Imagine like scrolling down on Twitter, you can still see the sidebar regardless of how far down you scroll.</div>","""<br> <a href=""""https://css-tricks.com/absolute-relative-fixed-positioining-how-do-they-differ/"""">Absolute, Relative, Fixed Positioning: How Do They Differ?</a> """,CSS
"What existing CSS frameworks have you used locally, or in production? How would you change/improve them?",[Personal Answer],"""<br> <a href=""""https://www.frontendinterviewhandbook.com/css-questions"""">Front End Interview CSS</a>""",CSS
Have you played around with the new CSS Flexbox or Grid specs?,"""Sample Answer:<br>""""Absolutely, Flexbox solves so many common problems for me. Such as vertically centering elements in a container. Sometimes it’s not all the features are always compatible with certain browsers, like certain versions of Safari is a huge culprit of this. I also use Bootstrap, which is built with Flexbox with a column system. For Grid, if I need to have a column system I’ll use that over Flexbox because Flexbox only positions elements in one dimension.""""""","""<br> <a href=""""https://webdesign.tutsplus.com/articles/flexbox-vs-css-grid-which-should-you-use--cms-30184"""">CSS Grid vs. Flexbox: Which Should You Use and When?</a> """,CSS
Can you explain the difference between coding a web site to be responsive versus using a mobile-first strategy?,"Important to remember they are not mutually exclusive. The main difference is that a mobile first strategy can be responsive, but a responsive website isn’t always mobile first. Mobile-first designs for phones and its usage, buttons will be larger, hyperlinks are larger, items are spaced further apart to adjust for your thumbs instead of a mouse. Font sizes are bigger on average, etc.&nbsp;","""<br> <a href=""""https://www.finalsite.com/blog/p/~board/b/post/rresponsive-vs-mobile-first-difference"""">Difference Between Mobile-First and Responsive Web Designs</a> """,CSS
How is responsive design different from adaptive design?,"<div>Responsive design uses one layout and adjusts the content, navigation, and elements of the page to fit the user’s screen. Regardless if it’s viewed on a desktop, laptop, tablet, or mobile phone. Like one key growing/shrinking to match different locks.&nbsp;<br><br></div><div>Adaptive design you have multiple different fixed layouts created that adapt to the user’s screen size depending on the breakpoints. You’d detect the screen size and load the appropriate layout for it. Like a ring of keys for many different locks.&nbsp;<br><br></div><div>Responsive Web Design doesn’t offer as much control as adaptive, but it takes less work to build and maintain. Where adaptive design is more oriented towards retrofitting an existing website.&nbsp; &nbsp;&nbsp;</div>","""<br> <a href=""""https://xd.adobe.com/ideas/process/ui-design/adaptive-design-vs-responsive-design/"""">Adaptive Design vs. Responsive Design</a> """,CSS
"Have you ever worked with retina graphics? If so, when and what techniques did you use?","""Retina means high-resolution with pixel ratio &gt; 1. Most mobile displays are retina displays nowadays. Can make standard resolution images blurry.&nbsp;<br><br>[Personal Answer]<br>Sample Answer:<br>""""What I do is that if I run into this, I’ll use an alternate high quality image that might be like double the dimensions for specifically devices with retina screens.""""""","""<br> <a href=""""http://www.karelia.com/support/sandvox/articles/retina-displays-graphics.html"""">Quick Intro: Retina Displays and Graphics</a> """,CSS
"""Is there any reason you'd want to use translate() instead of absolute positioning, or vice-versa? And why?""","<div>Translate is more efficient for smoother animations because it doesn’t trigger a repaint or reflow, but a composition. Where changing the absolute positioning triggers reflow. Transform causes the browsers to create a GPU layer, but changing an absolute positioning uses the CPU. Also with translate the image still occupies its original space, like as if you were using position relative. Unlike absolute positioning.&nbsp;</div>","""<br> <a href=""""https://www.paulirish.com/2012/why-moving-elements-with-translate-is-better-than-posabs-topleft/"""">Why Moving Elements With Translate() Is Better Than Pos:abs Top/left</a> """,CSS
